Years_in_CS,Programming_Languages,Frameworks,Databases,DevOps_Tools,Networking_Experience,Cybersecurity_Experience,AI_Data_Science_Experience,Current_Role,Happy_in_Current_Role,Current_Role_Difficulty
Less than 1 year,Python,Nestjs,MySQL,Apache,No,No,No,Machine Learning Engineer,Yes,Yes
1-3 years,Java,Flutter,CassandraDB,GitLab CI/CD,No,Yes,No,Cloud Engineer,No,No
1-3 years,Go,Dask,SQLite,CircleCI,Yes,No,Yes,Robotics Engineer,No,Yes
1-3 years,C,CryEngine,MySQL,Docker,No,Yes,Yes,DevOps Engineer,Yes,No
1-3 years,C,Nestjs,PostgreSQL,Ansible,No,Yes,Yes,Software Engineer,No,Yes
More than 5 years,Other (please specify),Electron,SQLite,Kubernetes,Yes,No,No,Software Engineer,Yes,Yes
3-5 years,Rust,Nestjs,MySQL,Docker,No,No,Yes,Data Engineer,Yes,No
1-3 years,Swift,React,PostgreSQL,Jenkins,No,No,Yes,Machine Learning Engineer,No,Yes
Less than 1 year,Other (please specify),Pandas,MySQL,Travis CI,Yes,No,No,Full-Stack Developer,No,No
None,Swift,Dask,PostgreSQL,Nginx,Yes,Yes,Yes,Robotics Engineer,Yes,Yes
More than 5 years,PHP,Scikit-Learn,OracleDB,Kubernetes,No,Yes,No,Product Manager,No,Yes
1-3 years,C#,TensorFlow,MySQL,Kubernetes,No,Yes,Yes,Network Engineer,Yes,Yes
3-5 years,Kotlin,Xamarin,PostgreSQL,Docker,Yes,Yes,No,Full-Stack Developer,No,Yes
Less than 1 year,C,Vue.js,Redis,Travis CI,Yes,Yes,Yes,AI Researcher,No,No
More than 5 years,C,.NET Core,Other (please specify),Git,No,No,Yes,DevOps Engineer,No,Yes
3-5 years,Java,Qt,Other (please specify),Git,No,Yes,No,Front-End Developer,No,Yes
3-5 years,Other (please specify),Apache Spark,Other (please specify),Jenkins,Yes,No,Yes,Data Scientist,No,Yes
1-3 years,Go,Angular,Other (please specify),Jenkins,No,Yes,Yes,Product Manager,Yes,No
3-5 years,Python,Next.js,Other (please specify),DigitalOcean,No,Yes,Yes,IT Support Specialist,No,Yes
None,TypeScript,Dask,CassandraDB,Other (please specify),Yes,No,No,Data Scientist,No,No
1-3 years,Java,Electron,SQLite,Travis CI,Yes,Yes,No,Full-Stack Developer,Yes,Yes
None,TypeScript,Svelte,OracleDB,Git,Yes,No,Yes,AI Researcher,Yes,Yes
3-5 years,Kotlin,GTK,MongoDB,Terraform,Yes,Yes,No,Software Engineer,No,Yes
More than 5 years,Swift,Electron,MySQL,Ansible,Yes,No,Yes,AI Researcher,Yes,No
Less than 1 year,None,Numpy,Microsoft SQL Server,Ansible,No,No,No,Data Engineer,No,Yes
More than 5 years,Ruby,.NET Core,CassandraDB,Google Cloud Platform,No,No,No,Network Engineer,Yes,Yes
Less than 1 year,Go,Next.js,Other (please specify),Apache,No,Yes,Yes,Other (please specify),Yes,No
3-5 years,TypeScript,JavaFX,Redis,GitLab CI/CD,No,No,Yes,Front-End Developer,Yes,No
More than 5 years,Other (please specify),Numpy,Redis,Git,Yes,Yes,No,Full-Stack Developer,Yes,No
None,None,PyTorch,CassandraDB,Kubernetes,Yes,No,Yes,Mobile Developer,No,Yes
None,Java,Django,MySQL,Apache,Yes,Yes,Yes,Data Scientist,Yes,No
More than 5 years,Kotlin,Xamarin,Other (please specify),GitLab CI/CD,No,No,No,Network Engineer,No,Yes
Less than 1 year,JavaScript,Next.js,SQLite,Ansible,Yes,Yes,No,Other (please specify),Yes,Yes
3-5 years,C#,Keras,Other (please specify),Ansible,Yes,No,No,Machine Learning Engineer,Yes,No
3-5 years,Python,React,Other (please specify),GitLab CI/CD,Yes,No,No,DevOps Engineer,No,Yes
Less than 1 year,Rust,Snort,CassandraDB,Nginx,No,No,Yes,Cybersecurity Analyst,No,No
Less than 1 year,C++,React Native,OracleDB,DigitalOcean,No,No,No,Cybersecurity Analyst,Yes,No
None,Swift,Electron,SQLite,Terraform,No,No,No,Software Engineer,Yes,Yes
1-3 years,Python,Ruby on Rails,OracleDB,CircleCI,Yes,Yes,No,Mobile Developer,No,No
3-5 years,Rust,Electron,Redis,Git,No,No,Yes,Machine Learning Engineer,Yes,Yes
Less than 1 year,Python,React,OracleDB,CircleCI,Yes,No,Yes,Game Developer,Yes,Yes
None,Swift,Pandas,SQLite,Kubernetes,Yes,Yes,No,Machine Learning Engineer,No,No
3-5 years,C,Unity,MySQL,Apache,No,Yes,Yes,Front-End Developer,No,Yes
Less than 1 year,Kotlin,WPF,Other (please specify),Docker,No,No,No,Machine Learning Engineer,Yes,Yes
Less than 1 year,None,.NET Core,MongoDB,AWS,No,Yes,Yes,Front-End Developer,No,No
3-5 years,PHP,Angular,SQLite,Ansible,No,Yes,Yes,Game Developer,Yes,No
None,C#,Snort,MySQL,CircleCI,Yes,No,No,Cybersecurity Analyst,Yes,Yes
None,Go,Burp Suite,Redis,Other (please specify),Yes,No,Yes,Mobile Developer,No,No
1-3 years,C#,Next.js,OracleDB,CircleCI,Yes,Yes,Yes,DevOps Engineer,No,No
More than 5 years,C,Next.js,CassandraDB,Apache,Yes,Yes,Yes,Cloud Engineer,Yes,No
1-3 years,Dart,Xamarin,OracleDB,Nginx,Yes,No,No,Data Engineer,Yes,Yes
None,C++,Apache Spark,Other (please specify),Terraform,Yes,No,No,Software Engineer,Yes,Yes
More than 5 years,Python,Next.js,CassandraDB,Nginx,Yes,Yes,No,Data Engineer,Yes,Yes
1-3 years,C++,Kotlin Multiplatform Mobile (KMM),Microsoft SQL Server,Kubernetes,Yes,Yes,No,AI Researcher,No,Yes
Less than 1 year,Other (please specify),CryEngine,Redis,Git,No,No,Yes,AI Researcher,No,Yes
3-5 years,Rust,SwiftUI,MongoDB,AWS,No,Yes,No,Database Administrator,Yes,Yes
1-3 years,Java,React Native,MySQL,Kubernetes,No,No,No,Back-End Developer,No,Yes
More than 5 years,Other (please specify),Numpy,CassandraDB,Kubernetes,Yes,No,Yes,Cybersecurity Analyst,No,No
3-5 years,Dart,Kali Linux,PostgreSQL,GitLab CI/CD,Yes,No,No,Machine Learning Engineer,No,No
None,Rust,CryEngine,Other (please specify),Kubernetes,No,No,No,AI Researcher,Yes,Yes
3-5 years,Java,Snort,SQLite,Kubernetes,No,Yes,No,Data Engineer,Yes,Yes
More than 5 years,C,React,Other (please specify),Docker,Yes,Yes,Yes,Machine Learning Engineer,Yes,Yes
Less than 1 year,C,Express.js,OracleDB,Git,No,Yes,No,Software Engineer,Yes,No
1-3 years,Kotlin,Unreal Engine,Microsoft SQL Server,AWS,Yes,Yes,Yes,Software Engineer,No,Yes
3-5 years,TypeScript,Vue.js,Other (please specify),Nginx,Yes,No,No,Front-End Developer,No,Yes
More than 5 years,TypeScript,Unity,CassandraDB,Apache,Yes,Yes,No,Machine Learning Engineer,Yes,Yes
More than 5 years,Swift,Snort,Redis,Kubernetes,Yes,Yes,No,Network Engineer,No,Yes
3-5 years,Python,Numpy,PostgreSQL,Kubernetes,Yes,Yes,No,Full-Stack Developer,No,Yes
More than 5 years,C,Nestjs,CassandraDB,Google Cloud Platform,No,Yes,No,Robotics Engineer,No,No
Less than 1 year,C,Apache Spark,Other (please specify),Other (please specify),Yes,No,Yes,Product Manager,No,Yes
More than 5 years,Python,Next.js,PostgreSQL,Jenkins,No,Yes,No,Cloud Engineer,Yes,No
None,C,Apache Spark,Microsoft SQL Server,Google Cloud Platform,Yes,No,Yes,Game Developer,Yes,Yes
Less than 1 year,Ruby,Express.js,CassandraDB,Git,Yes,Yes,Yes,DevOps Engineer,Yes,Yes
3-5 years,Other (please specify),Svelte,PostgreSQL,Kubernetes,Yes,No,Yes,Game Developer,No,No
None,C++,Kotlin Multiplatform Mobile (KMM),SQLite,AWS,No,No,Yes,IT Support Specialist,Yes,No
3-5 years,Swift,Keras,MySQL,Nginx,No,No,Yes,Robotics Engineer,Yes,Yes
Less than 1 year,JavaScript,Flutter,CassandraDB,Ansible,No,Yes,Yes,Back-End Developer,Yes,No
None,C++,Numpy,CassandraDB,Azure,No,Yes,Yes,Product Manager,No,No
Less than 1 year,Java,Keras,CassandraDB,Azure,No,No,No,Mobile Developer,Yes,Yes
More than 5 years,C++,WPF,Other (please specify),Terraform,Yes,No,No,Project Manager,No,Yes
More than 5 years,Rust,Svelte,PostgreSQL,CircleCI,No,No,No,Robotics Engineer,No,No
1-3 years,TypeScript,Kotlin Multiplatform Mobile (KMM),OracleDB,Google Cloud Platform,Yes,No,Yes,IT Support Specialist,No,Yes
3-5 years,TypeScript,Electron,MongoDB,Docker,Yes,Yes,No,Cloud Engineer,Yes,No
1-3 years,C,Xamarin,Microsoft SQL Server,AWS,No,Yes,Yes,DevOps Engineer,Yes,No
3-5 years,C++,Express.js,PostgreSQL,Docker,No,No,No,Network Engineer,No,Yes
None,Swift,OpenVAS,MongoDB,Azure,No,Yes,Yes,DevOps Engineer,No,No
1-3 years,TypeScript,Kotlin Multiplatform Mobile (KMM),PostgreSQL,Terraform,Yes,No,No,IT Support Specialist,No,No
None,Ruby,Numpy,MySQL,AWS,Yes,Yes,No,DevOps Engineer,Yes,Yes
3-5 years,C#,React Native,Other (please specify),Kubernetes,Yes,No,No,Front-End Developer,No,No
3-5 years,Kotlin,React Native,Microsoft SQL Server,Ansible,Yes,Yes,Yes,Data Scientist,Yes,Yes
More than 5 years,Other (please specify),Nestjs,OracleDB,Apache,Yes,Yes,Yes,Front-End Developer,No,No
More than 5 years,Java,Unreal Engine,Other (please specify),Ansible,Yes,No,No,Project Manager,No,Yes
1-3 years,Swift,Django,Microsoft SQL Server,DigitalOcean,Yes,Yes,Yes,Product Manager,Yes,Yes
Less than 1 year,Dart,Xamarin,SQLite,Ansible,No,Yes,Yes,Network Engineer,Yes,No
1-3 years,Java,React,SQLite,Apache,Yes,No,No,Cloud Engineer,Yes,Yes
Less than 1 year,Python,Metasploit,Redis,Other (please specify),Yes,No,Yes,Data Scientist,No,Yes
More than 5 years,C,WPF,PostgreSQL,Docker,Yes,Yes,Yes,Game Developer,Yes,Yes
Less than 1 year,TypeScript,Vue.js,Microsoft SQL Server,Travis CI,Yes,Yes,Yes,Network Engineer,No,No
None,Swift,Kotlin Multiplatform Mobile (KMM),PostgreSQL,Apache,No,No,Yes,Machine Learning Engineer,No,No
More than 5 years,Other (please specify),Electron,Other (please specify),Docker,Yes,Yes,No,Product Manager,Yes,Yes
Less than 1 year,Kotlin,.NET Core,Microsoft SQL Server,GitLab CI/CD,No,No,No,AI Researcher,Yes,Yes
3-5 years,Kotlin,Svelte,OracleDB,Nginx,No,Yes,No,Cybersecurity Analyst,No,Yes
None,Ruby,Next.js,Other (please specify),DigitalOcean,No,Yes,Yes,IT Support Specialist,No,No
More than 5 years,None,SwiftUI,PostgreSQL,Docker,Yes,No,No,Back-End Developer,No,Yes
3-5 years,Go,Electron,Redis,AWS,No,No,Yes,Machine Learning Engineer,No,No
More than 5 years,Java,Apache Spark,OracleDB,Kubernetes,Yes,No,No,Project Manager,Yes,Yes
None,C#,Nestjs,PostgreSQL,Azure,No,Yes,No,AI Researcher,No,Yes
3-5 years,C#,Svelte,CassandraDB,Azure,Yes,Yes,No,Front-End Developer,No,Yes
3-5 years,Go,Snort,Microsoft SQL Server,Other (please specify),Yes,No,No,Project Manager,Yes,No
None,Java,Flutter,Microsoft SQL Server,Docker,Yes,Yes,Yes,Machine Learning Engineer,Yes,No
1-3 years,C,Electron,CassandraDB,Terraform,Yes,Yes,Yes,Robotics Engineer,No,Yes
More than 5 years,PHP,Keras,SQLite,Kubernetes,Yes,Yes,No,Data Engineer,Yes,No
More than 5 years,TypeScript,.NET Core,SQLite,Azure,No,Yes,Yes,Data Scientist,No,No
1-3 years,C++,Flask,MySQL,CircleCI,Yes,No,Yes,Full-Stack Developer,Yes,No
1-3 years,Kotlin,Unreal Engine,MySQL,Other (please specify),No,Yes,Yes,Full-Stack Developer,Yes,Yes
3-5 years,Other (please specify),Kotlin Multiplatform Mobile (KMM),Other (please specify),Azure,No,No,Yes,Data Engineer,Yes,Yes
1-3 years,Rust,Kali Linux,OracleDB,Git,No,No,Yes,Front-End Developer,Yes,Yes
3-5 years,C++,Ruby on Rails,Microsoft SQL Server,Kubernetes,Yes,Yes,No,Software Engineer,No,Yes
1-3 years,C++,Flask,OracleDB,Travis CI,Yes,Yes,No,Robotics Engineer,No,No
None,TypeScript,Flask,Other (please specify),DigitalOcean,Yes,No,No,Data Engineer,Yes,Yes
3-5 years,Swift,GTK,CassandraDB,Google Cloud Platform,No,Yes,Yes,Cloud Engineer,Yes,Yes
None,None,.NET Core,PostgreSQL,Jenkins,Yes,No,No,Mobile Developer,Yes,Yes
More than 5 years,Kotlin,PyTorch,MySQL,Azure,Yes,No,No,Other (please specify),No,No
None,Rust,React,SQLite,Google Cloud Platform,No,No,No,DevOps Engineer,No,No
3-5 years,Dart,Kotlin Multiplatform Mobile (KMM),Other (please specify),Other (please specify),No,No,No,Database Administrator,Yes,Yes
More than 5 years,Swift,Angular,MongoDB,Docker,Yes,Yes,No,Back-End Developer,Yes,No
1-3 years,Java,Django,Microsoft SQL Server,GitLab CI/CD,No,No,No,Back-End Developer,Yes,No
None,TypeScript,Flutter,Microsoft SQL Server,Nginx,No,No,Yes,Mobile Developer,No,No
1-3 years,Swift,GTK,SQLite,Ansible,No,Yes,No,Cybersecurity Analyst,Yes,Yes
3-5 years,C++,Snort,SQLite,Jenkins,No,No,No,IT Support Specialist,Yes,No
Less than 1 year,Kotlin,Apache Spark,MySQL,Nginx,No,Yes,No,Network Engineer,No,Yes
1-3 years,C,Vue.js,PostgreSQL,Nginx,Yes,No,Yes,Database Administrator,No,No
More than 5 years,Go,CryEngine,Redis,Ansible,Yes,Yes,Yes,Front-End Developer,No,No
None,Kotlin,Snort,MongoDB,Docker,Yes,Yes,No,Systems Analyst,No,Yes
3-5 years,TypeScript,Scikit-Learn,Other (please specify),Terraform,No,Yes,Yes,AI Researcher,No,No
1-3 years,Kotlin,Scikit-Learn,Other (please specify),Terraform,Yes,No,Yes,Cybersecurity Analyst,Yes,Yes
Less than 1 year,Kotlin,Next.js,SQLite,Azure,Yes,Yes,Yes,Cloud Engineer,No,Yes
3-5 years,Swift,Burp Suite,Microsoft SQL Server,Nginx,Yes,Yes,Yes,Other (please specify),Yes,No
Less than 1 year,Ruby,Next.js,MongoDB,AWS,No,No,Yes,Data Engineer,Yes,No
None,Rust,GTK,CassandraDB,AWS,No,No,Yes,Systems Analyst,Yes,Yes
3-5 years,C#,OpenVAS,SQLite,Docker,No,No,No,AI Researcher,Yes,No
None,JavaScript,Flutter,MongoDB,Kubernetes,Yes,No,No,Software Engineer,Yes,No
1-3 years,C#,React Native,SQLite,DigitalOcean,No,No,Yes,IT Support Specialist,Yes,No
3-5 years,Rust,Burp Suite,Other (please specify),Apache,Yes,Yes,No,Mobile Developer,Yes,Yes
3-5 years,Swift,OpenVAS,CassandraDB,Travis CI,No,Yes,No,Database Administrator,Yes,Yes
1-3 years,Go,Godot,OracleDB,Travis CI,No,Yes,Yes,Front-End Developer,No,Yes
None,JavaScript,Angular,SQLite,Travis CI,Yes,Yes,Yes,Machine Learning Engineer,No,Yes
1-3 years,Swift,SwiftUI,PostgreSQL,DigitalOcean,No,No,No,Full-Stack Developer,Yes,No
3-5 years,JavaScript,Dask,OracleDB,CircleCI,Yes,Yes,No,Back-End Developer,No,No
3-5 years,C,Django,Redis,CircleCI,No,Yes,No,Machine Learning Engineer,No,Yes
Less than 1 year,Swift,Dask,PostgreSQL,Jenkins,No,No,Yes,Product Manager,Yes,Yes
More than 5 years,TypeScript,Numpy,Microsoft SQL Server,Azure,No,No,Yes,Software Engineer,Yes,Yes
1-3 years,Dart,CryEngine,Other (please specify),Other (please specify),No,Yes,Yes,Product Manager,Yes,Yes
More than 5 years,PHP,Electron,MongoDB,Terraform,Yes,Yes,Yes,Cybersecurity Analyst,Yes,Yes
Less than 1 year,Other (please specify),Express.js,MongoDB,AWS,Yes,Yes,No,Network Engineer,No,No
More than 5 years,Dart,Django,SQLite,Travis CI,Yes,Yes,No,Data Engineer,No,No
None,C#,Unreal Engine,MySQL,Docker,No,Yes,Yes,Data Engineer,No,Yes
More than 5 years,C#,Next.js,Microsoft SQL Server,DigitalOcean,Yes,Yes,Yes,Data Scientist,Yes,No
3-5 years,Kotlin,Burp Suite,MySQL,Other (please specify),No,Yes,Yes,Other (please specify),No,No
3-5 years,JavaScript,Nestjs,OracleDB,Apache,Yes,Yes,Yes,Data Scientist,No,Yes
None,PHP,React Native,OracleDB,Docker,No,No,No,Game Developer,No,Yes
Less than 1 year,Ruby,React Native,CassandraDB,Ansible,Yes,No,No,Game Developer,Yes,Yes
More than 5 years,Swift,React,MongoDB,Other (please specify),Yes,Yes,Yes,Network Engineer,Yes,No
Less than 1 year,Go,JavaFX,MySQL,GitLab CI/CD,Yes,Yes,No,Product Manager,No,No
None,TypeScript,WPF,OracleDB,Other (please specify),Yes,Yes,Yes,Project Manager,No,Yes
Less than 1 year,Python,Django,SQLite,Terraform,No,Yes,No,Robotics Engineer,Yes,Yes
None,TypeScript,Kali Linux,CassandraDB,Jenkins,Yes,No,No,Game Developer,No,Yes
3-5 years,TypeScript,Numpy,Other (please specify),Terraform,Yes,No,No,IT Support Specialist,No,No
More than 5 years,Swift,TensorFlow,MySQL,Other (please specify),Yes,No,No,Game Developer,No,No
3-5 years,C#,GTK,MySQL,Apache,No,No,Yes,AI Researcher,No,Yes
None,Swift,React Native,Other (please specify),Azure,Yes,No,No,Network Engineer,No,No
None,None,.NET Core,MySQL,Nginx,Yes,No,Yes,Full-Stack Developer,Yes,Yes
3-5 years,Go,Qt,SQLite,DigitalOcean,Yes,Yes,No,Robotics Engineer,Yes,Yes
1-3 years,Kotlin,Qt,PostgreSQL,Other (please specify),No,No,Yes,Full-Stack Developer,Yes,No
More than 5 years,Dart,.NET Core,Redis,Apache,Yes,No,Yes,Data Engineer,Yes,No
Less than 1 year,JavaScript,Kali Linux,OracleDB,GitLab CI/CD,No,Yes,Yes,Cloud Engineer,Yes,Yes
None,Dart,Dask,OracleDB,GitLab CI/CD,No,No,Yes,Project Manager,No,No
3-5 years,Swift,Keras,PostgreSQL,DigitalOcean,No,No,Yes,Project Manager,No,Yes
3-5 years,None,Burp Suite,Microsoft SQL Server,Docker,Yes,No,Yes,Mobile Developer,Yes,Yes
More than 5 years,JavaScript,Snort,MongoDB,CircleCI,No,No,Yes,DevOps Engineer,Yes,No
More than 5 years,Dart,Scikit-Learn,Other (please specify),Kubernetes,Yes,No,No,Product Manager,Yes,No
3-5 years,PHP,Svelte,Redis,AWS,No,No,No,Front-End Developer,Yes,Yes
Less than 1 year,PHP,Godot,MySQL,GitLab CI/CD,Yes,No,Yes,Product Manager,No,No
1-3 years,None,React,Redis,DigitalOcean,No,No,Yes,Machine Learning Engineer,No,No
3-5 years,PHP,Svelte,MongoDB,Kubernetes,Yes,No,Yes,Network Engineer,No,No
Less than 1 year,Rust,Xamarin,MySQL,Azure,No,No,No,Data Scientist,No,Yes
More than 5 years,PHP,Snort,OracleDB,CircleCI,No,No,Yes,Cybersecurity Analyst,Yes,Yes
More than 5 years,Ruby,JavaFX,MySQL,Jenkins,No,No,Yes,Systems Analyst,Yes,Yes
Less than 1 year,Other (please specify),Xamarin,CassandraDB,Terraform,No,Yes,No,Software Engineer,Yes,Yes
1-3 years,C#,Unreal Engine,MongoDB,DigitalOcean,No,Yes,No,Cybersecurity Analyst,Yes,Yes
More than 5 years,Ruby,Keras,SQLite,AWS,Yes,No,Yes,Game Developer,Yes,No
More than 5 years,Kotlin,Xamarin,MySQL,CircleCI,No,Yes,Yes,DevOps Engineer,Yes,No
Less than 1 year,PHP,Svelte,MongoDB,DigitalOcean,No,No,No,Back-End Developer,Yes,Yes
1-3 years,Ruby,Ruby on Rails,SQLite,AWS,No,Yes,Yes,Mobile Developer,No,No
None,C#,Flutter,CassandraDB,Docker,Yes,No,Yes,AI Researcher,Yes,Yes
1-3 years,None,Flutter,SQLite,Other (please specify),No,No,No,Product Manager,Yes,No
3-5 years,Java,Qt,PostgreSQL,GitLab CI/CD,No,Yes,No,Full-Stack Developer,Yes,No
None,None,TensorFlow,CassandraDB,Travis CI,No,No,No,AI Researcher,No,No
1-3 years,Java,Metasploit,CassandraDB,Azure,No,Yes,No,Systems Analyst,Yes,Yes
3-5 years,C,Django,OracleDB,Travis CI,No,No,Yes,Data Engineer,Yes,No
More than 5 years,Other (please specify),Angular,MongoDB,Google Cloud Platform,Yes,No,Yes,Database Administrator,Yes,Yes
Less than 1 year,C#,Flask,PostgreSQL,Nginx,Yes,No,No,Project Manager,No,No
1-3 years,Kotlin,Kali Linux,MongoDB,Azure,No,Yes,Yes,Full-Stack Developer,Yes,Yes
1-3 years,TypeScript,Express.js,CassandraDB,Apache,Yes,No,Yes,Full-Stack Developer,Yes,Yes
Less than 1 year,Python,Electron,MongoDB,Travis CI,Yes,Yes,No,Systems Analyst,No,Yes
1-3 years,Rust,Keras,MongoDB,Jenkins,No,Yes,No,Cybersecurity Analyst,Yes,No
3-5 years,JavaScript,Angular,PostgreSQL,Docker,No,No,Yes,Data Engineer,No,No
None,Rust,Django,OracleDB,Git,Yes,No,Yes,Product Manager,No,No
More than 5 years,Go,Flutter,Redis,Other (please specify),Yes,Yes,No,AI Researcher,No,Yes
Less than 1 year,JavaScript,JavaFX,Redis,Apache,Yes,Yes,Yes,Game Developer,No,Yes
More than 5 years,Dart,Xamarin,CassandraDB,Terraform,Yes,No,No,Mobile Developer,Yes,No
1-3 years,Dart,Nestjs,MongoDB,AWS,No,No,No,Data Scientist,Yes,Yes
More than 5 years,Go,Metasploit,Microsoft SQL Server,CircleCI,Yes,Yes,No,Network Engineer,No,No
1-3 years,Kotlin,Express.js,PostgreSQL,Jenkins,No,Yes,No,Game Developer,Yes,Yes
None,Kotlin,Numpy,PostgreSQL,AWS,Yes,No,No,Game Developer,Yes,No
3-5 years,Dart,Ruby on Rails,CassandraDB,CircleCI,Yes,No,Yes,Product Manager,No,No
3-5 years,C++,Keras,Other (please specify),CircleCI,Yes,Yes,No,Mobile Developer,No,No
3-5 years,Dart,Angular,MongoDB,Apache,Yes,Yes,Yes,Project Manager,No,No
Less than 1 year,PHP,Vue.js,SQLite,CircleCI,Yes,Yes,Yes,Systems Analyst,Yes,Yes
3-5 years,Swift,Ruby on Rails,Microsoft SQL Server,CircleCI,Yes,No,No,Data Scientist,No,No
None,PHP,Svelte,MongoDB,Other (please specify),No,Yes,Yes,AI Researcher,Yes,Yes
3-5 years,Dart,Unreal Engine,CassandraDB,AWS,Yes,No,No,Cloud Engineer,No,No
None,Rust,Pandas,MySQL,DigitalOcean,No,Yes,Yes,Data Engineer,No,Yes
None,Rust,Django,MySQL,Google Cloud Platform,Yes,Yes,No,Data Scientist,Yes,No
3-5 years,Kotlin,Pandas,MySQL,GitLab CI/CD,No,Yes,Yes,AI Researcher,Yes,Yes
3-5 years,Other (please specify),Next.js,SQLite,DigitalOcean,No,No,No,Full-Stack Developer,No,No
3-5 years,Rust,Snort,MySQL,Docker,No,No,Yes,Network Engineer,Yes,No
3-5 years,Dart,Express.js,CassandraDB,Ansible,No,Yes,Yes,Other (please specify),Yes,No
1-3 years,Rust,CryEngine,OracleDB,Google Cloud Platform,No,No,Yes,DevOps Engineer,No,No
None,C#,React Native,Microsoft SQL Server,Jenkins,No,No,No,Other (please specify),No,Yes
Less than 1 year,None,Vue.js,Redis,Jenkins,Yes,Yes,Yes,Systems Analyst,Yes,No
1-3 years,Swift,GTK,OracleDB,CircleCI,No,No,Yes,DevOps Engineer,Yes,No
1-3 years,Go,Express.js,Redis,Other (please specify),No,Yes,No,Robotics Engineer,No,No
More than 5 years,Python,React,OracleDB,Apache,Yes,Yes,No,Data Scientist,Yes,No
Less than 1 year,PHP,Kali Linux,MySQL,Travis CI,No,No,Yes,Data Engineer,Yes,No
Less than 1 year,PHP,Qt,PostgreSQL,Terraform,Yes,Yes,No,DevOps Engineer,No,No
None,Rust,Svelte,Redis,GitLab CI/CD,No,No,No,Cybersecurity Analyst,Yes,No
More than 5 years,None,GTK,SQLite,AWS,Yes,Yes,Yes,Other (please specify),No,Yes
1-3 years,Dart,OpenVAS,SQLite,CircleCI,No,Yes,No,Full-Stack Developer,No,No
More than 5 years,C++,React Native,Microsoft SQL Server,Azure,No,Yes,Yes,AI Researcher,Yes,No
None,Rust,Unity,PostgreSQL,GitLab CI/CD,Yes,Yes,No,Data Scientist,No,Yes
1-3 years,PHP,Unreal Engine,PostgreSQL,Azure,Yes,No,No,Data Engineer,No,Yes
3-5 years,Java,CryEngine,SQLite,Nginx,Yes,No,No,Data Scientist,No,Yes
More than 5 years,Dart,PyTorch,Other (please specify),Ansible,Yes,Yes,No,Mobile Developer,No,Yes
More than 5 years,C,Kali Linux,OracleDB,Git,No,Yes,Yes,Game Developer,No,No
3-5 years,None,GTK,SQLite,Apache,Yes,No,Yes,Cybersecurity Analyst,No,No
3-5 years,Python,Apache Spark,MySQL,Ansible,No,No,Yes,Back-End Developer,No,No
None,C,Svelte,PostgreSQL,Azure,No,No,No,Game Developer,Yes,No
Less than 1 year,C,Unity,CassandraDB,Azure,No,No,No,Database Administrator,No,Yes
Less than 1 year,C,JavaFX,CassandraDB,Travis CI,No,Yes,Yes,IT Support Specialist,Yes,No
More than 5 years,PHP,Dask,OracleDB,Git,No,Yes,No,IT Support Specialist,No,Yes
Less than 1 year,PHP,Snort,Other (please specify),GitLab CI/CD,No,No,Yes,Cybersecurity Analyst,Yes,No
Less than 1 year,C++,PyTorch,SQLite,Kubernetes,No,No,Yes,Robotics Engineer,No,Yes
1-3 years,Go,Kali Linux,Redis,AWS,Yes,No,Yes,Back-End Developer,No,No
1-3 years,None,PyTorch,PostgreSQL,Nginx,No,Yes,No,Game Developer,No,Yes
Less than 1 year,C++,Nestjs,CassandraDB,Google Cloud Platform,No,Yes,Yes,Data Engineer,No,No
Less than 1 year,C,WPF,Microsoft SQL Server,Google Cloud Platform,No,Yes,No,Network Engineer,Yes,Yes
More than 5 years,Dart,Unreal Engine,MySQL,Terraform,No,Yes,No,Software Engineer,No,No
1-3 years,Other (please specify),Flask,MongoDB,Apache,Yes,Yes,Yes,Product Manager,Yes,No
None,JavaScript,CryEngine,CassandraDB,GitLab CI/CD,No,No,Yes,Software Engineer,No,No
More than 5 years,Other (please specify),Django,CassandraDB,Other (please specify),No,Yes,No,Project Manager,No,No
None,Kotlin,OpenVAS,PostgreSQL,Terraform,Yes,No,No,Back-End Developer,Yes,No
3-5 years,Python,WPF,MySQL,Terraform,Yes,Yes,Yes,Machine Learning Engineer,No,No
1-3 years,C,JavaFX,Microsoft SQL Server,Apache,Yes,No,No,Network Engineer,Yes,Yes
1-3 years,Ruby,Flask,SQLite,GitLab CI/CD,Yes,No,No,Cybersecurity Analyst,No,Yes
None,None,Scikit-Learn,Microsoft SQL Server,Nginx,No,Yes,No,Other (please specify),No,No
None,PHP,Numpy,Microsoft SQL Server,GitLab CI/CD,No,Yes,No,Database Administrator,Yes,Yes
3-5 years,TypeScript,Xamarin,Other (please specify),Azure,No,No,No,Systems Analyst,Yes,Yes
3-5 years,Other (please specify),Flutter,PostgreSQL,Travis CI,Yes,No,Yes,Data Engineer,Yes,Yes
1-3 years,Dart,Unity,PostgreSQL,GitLab CI/CD,No,Yes,No,Front-End Developer,No,Yes
1-3 years,C#,Kali Linux,OracleDB,Nginx,Yes,Yes,Yes,Data Scientist,No,Yes
Less than 1 year,Kotlin,React Native,Other (please specify),CircleCI,No,No,Yes,Network Engineer,Yes,Yes
3-5 years,Kotlin,TensorFlow,MongoDB,Terraform,No,No,Yes,Game Developer,Yes,Yes
